fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp
5060,2.5.1,26,96.216.85.53,4,96.216.85.53,192.168.88.251,ICMP,50,64,"[{'rtt': 65.922934}, {'rtt': 66.006208}, {'rtt': 66.152705}]",0,3,3,65.922934,66.152705,66.02728233333333,210957734,1003790,1789321932,Ping,190.122.166.242,ping,210957734,,1789321933
5110,2.6.4,26,96.216.85.53,4,96.216.85.53,64.247.129.23,ICMP,51,64,"[{'rtt': 98.117385}, {'rtt': 98.03514}, {'rtt': 98.103521}]",0,3,3,98.03514,98.117385,98.08534866666666,210957734,1011402,1789321932,Ping,64.247.129.23,ping,210957734,,1789321933
5120,2.6.4,33,96.216.85.53,4,96.216.85.53,10.42.0.15,ICMP,50,64,"[{'rtt': 42.550983}, {'rtt': 42.530268}, {'rtt': 43.083522}]",0,3,3,42.530268,43.083522,42.72159100000001,210957734,1013022,1789321933,Ping,173.224.240.24,ping,210957734,,1789321934
5120,2.6.4,5,96.216.85.53,4,96.216.85.53,10.253.253.13,ICMP,53,64,"[{'rtt': 41.578617}, {'rtt': 40.628958}, {'rtt': 38.463559}]",0,3,3,38.463559,41.578617,40.223711333333334,210957734,1015498,1789321932,Ping,129.222.247.99,ping,210957734,,1789321933
5080,2.6.2,54,96.216.85.53,4,96.216.85.53,10.0.0.101,ICMP,58,64,"[{'rtt': 79.329819}, {'rtt': 80.225506}, {'rtt': 80.048626}]",0,3,3,79.329819,80.225506,79.86798366666666,210957734,17830,1789321930,Ping,70.66.36.138,ping,210957734,,1789321933
5080,2.6.2,41,96.216.85.53,4,96.216.85.53,192.168.1.64,ICMP,52,64,"[{'rtt': 69.590259}, {'rtt': 70.029363}, {'rtt': 72.977123}]",0,3,3,69.590259,72.977123,70.86558166666667,210957734,23000,1789321932,Ping,187.230.87.254,ping,210957734,,1789321934
5080,2.6.2,36,96.216.85.53,4,96.216.85.53,192.168.1.2,ICMP,46,64,"[{'rtt': 99.455037}, {'rtt': 96.414909}, {'rtt': 96.516322}]",0,3,3,96.414909,99.455037,97.46208933333332,210957734,25182,1789321936,Ping,177.249.173.159,ping,210957734,,1789321934
5080,2.6.2,40,96.216.85.53,4,96.216.85.53,172.16.3.244,ICMP,51,64,"[{'rtt': 56.647982}, {'rtt': 56.749271}, {'rtt': 56.672144}]",0,3,3,56.647982,56.749271,56.689799,210957734,61048,1789321932,Ping,66.248.183.139,ping,210957734,,1789321932
